Time                          Song // Artist
2020-08-12 15:37:58.885146    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:37:59.958885    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:01.031937    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:02.093037    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:03.182648    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:04.246403    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:05.331458    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:06.409170    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:07.468407    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:08.531021    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:09.605806    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:10.668216    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:11.739068    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:12.812747    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:13.888557    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:14.958755    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:16.027267    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:17.092006    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
